"Code_display","Crop_code","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"CRID","DRF","Dragon fruit","Selenicereus spp.","Fruit",,,"DF",,,"CAM","Perennial",,,"Fruit",,"N","Stem cutting",,"https://en.wikipedia.org/wiki/Selenicereus","Fruit crops"
"CRID","OAT","Oats","Avena sativa","Cereal, Forage",,,"OA","Oats",,"C3","Annual","LD",,"Seed",,"N","Seed",,,"Cereals"
"CRID","OKR","Okra","Abelmoschus esculentus","Vegetable",,,,,,"C3","Annual",,,"Fruit",,"N","Seed",,"https://en.wikipedia.org/wiki/Lentil","Vegetables"
"CRID","OLP","Oil palm","Elaeis spp.","Oil seed",,"E. guineensis & others","OP","Oilpalm",,"C3","Perennial",,,"Seed",,"N","Transplant",,"en.wikipedia.org/wiki/Elaeis","Oil crops"
"CRID","OLV","Olives","Olea europeae","Oil seed",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Olive","Oil crops"
"CRID","ONI","Onion","Allium cepa","Vegetable",,"Includes scallion and green onions","ON","Onion",,"C3","Biennial","SD, ID, LD","Y","Bulb",,"N","Seed","Sets","en.wikipedia.org/wiki/Onion","Vegetables"
"CRID","OTH","Other","var.","var.",,"""Other"" refers to species not listed herein, or a mixture of species.",,,,,,,,,,,,,,
"CRID","PAR","Parsnip","Pastinaca sativa","Vegetable",,,,,,"C3","Biennial",,"Y","Root",,"N","Seed",,"https://en.wikipedia.org/wiki/Parsnip","Vegetables"
"CRID","PCH","Pak choi","Brassica rapa","Vegetable",,"Bok choy, pok choi",,,,"C3","Biennial",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Bok_choy","Vegetables"
"CRID","PCN","Pecan","Carya illinoinensis","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Pecan","Nut"
"CRID","PEA","Pea","Pisum sativum","Pulse",,,"PE","Pea",,"C3","Annual","LD","Y","Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Pea","Legumes"
"CRID","PER","Pear","Pyrus spp.","Fruit",,,"PA","Pear",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"https://en.wikipedia.org/wiki/Pear","Fruit crops"
"CRID","PGP","Pigeon pea","Cajanus cajan","Pulse",,,"PP","Pigeonpea","Pigeonpea","C3","Annual","SD",,"Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Pigeon_pea","Legumes"
"CRID","PLM","Plum","Prunus insititia","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Plum","Fruit crops"
"CRID","PMK","Pumpkin","Cucurbita spp.","Vegetable",,,,,,"C3","Annual",,,"Fruit",,"N","Seed",,"https://en.wikipedia.org/wiki/Pumpkin","Vegetables"
"CRID","PML","Pearl millet","Pennisetum glaucum","Cereal",,,"ML","Millet","Pearl millet","C4","Annual",,,"Seed","Stage","N","Seed",,"https://en.wikipedia.org/wiki/Pearl_millet","Cereals"
"CRID","PNA","Pineapple","Ananas comosus","Fruit",,,"PI","Pineapple",,"CAM","Annual",,,"Fruit",,"N","Slips",,"en.wikipedia.org/wiki/Pineapple#Cultivation","Fruit crops"
"CRID","PNT","Peanut","Arachis hypogea","Oil seed, Pulse",,"Groundnut","PN","Peanut",,"C3","Annual","DN",,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Peanut","Legumes"
"CRID","POP","Poplar","Populus spp.","Bioenergy",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Populus","Sugar/Energy"
"CRID","POT","Potato","Solanum tunerosum","Tuber crop",,,"PT","Potato","Potato","C3","Annual",,,"Tuber","Date","N","Tubers",,"https://en.wikipedia.org/wiki/Potato","Root Crops"
"CRID","PPN","Perennial peanut","Arachis spp.","Forage",,,"PO","Peanut",,"C3","Perennial",,,"Shoot",,"Y","Seed",,"https://en.wikipedia.org/wiki/Arachis_glabrata","Forages"
"CRID","PPR","Bell pepper","Capsicum annum","Vegetable",,"Includes bell and chile","PR","Capsicumpepper",,"C3","Annual",,,"Fruit",,"N","Seed",,"en.wikipedia.org/wiki/Capsicum_annuum","Vegetables"
"CRID","PPY","Papaya","Carica papaya","Fruit",,,,,,"C3","Annual",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Papaya","Fruit crops"
"CRID","PRM","Proso millet","Panicum miliaceum","Cereal",,,"PM","Prosomillet",,"C4","Annual",,,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Proso_millet","Cereals"
"CRID","PRS","Parsley","Petroselenium crispum","Vegetable",,,,,,"C3","Biennial",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Parsley","Vegetables"
"CRID","PSM","Persimmon","Diospyros kaki","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Persimmon","Fruit crops"
"CRID","PST","Pistachio","Pistacia vera","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Pistachio","Nut"
"CRID","QUN","Quinoa","Chenopodium quinoa","Pseudocereal",,,"QU","Quinoa",,"C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Quinoa","Cereals"
"CRID","RAD","Radish","Raphanus sativus","Vegetable",,,"RD",,,"C3","Annual","LD","Y","Root",,"N",,,"https://en.wikipedia.org/wiki/Radish","Vegetables"
"CRID","RAP","Rape","Brassica rapa","Oil seed",,"Also as rapeseed, oilseed rape","RA","Rape",,"C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Rapeseed","Oil crops"
